,city,lat,long
0,New York,40.735781556250004,-73.97903525000001
1,Brooklyn,40.714952833333335,-73.9684315
2,NYC,40.801358,-74.3372
3,Los Angeles,34.019292666666665,-118.3379412
4,Santa Monica,34.019315225,-118.48759349999999
5,Culver City,34.01004854999999,-118.39790865
6,Torrance,33.8231,-118.328584
7,West Hollywood,34.0906409,-118.3740745
8,Brea,33.9133208,-117.8789031
9,Century City,34.057646,-118.417382
10,Beverly Hills,34.067554,-118.395658
11,Palo Alto,34.007967,-118.489681
12,El Segundo,34.048857,-118.251343
13,Boston,42.349149350000005,-71.06217327499999
14,Cambridge,42.3721995,-71.11438150000001
15,Waltham,42.417268,-71.258466
16,San Diego,32.919619499999996,-117.22438550000001
17,La Jolla,32.841791,-117.274602
18,London,53.344104,-6.267494
19,Philadelphia,39.9525762,-75.1652518
20,King of Prussia,40.099703,-75.39599
21,Las Vegas,36.1062,-115.1374
22,Montreal,45.517999950000004,-73.58168965
23,Austin,30.330271666666665,-97.73937033333334
24,Vancouver,49.28235205,-123.1088365
25,Rockville,39.105555,-77.179772
26,Plano,33.075067,-96.823962
27,Helsinki,60.171821,24.945167
28,"Tardeo,Mumbai",18.9742904,72.8127265
29,Chicago,41.889183,-87.632519
30,Madrid,40.4273082,-3.6895115
